id,dest_year,origin_fips,dest_fips,returns,exempt,agi
646,1996,29,59,1,2,14
647,1996,29,61,1,2,14
648,1996,29,63,1,2,14
649,1996,29,65,1,2,14
650,1996,29,67,1,2,14
651,1996,29,69,1,2,14
652,1996,29,71,1,2,14
653,1996,29,73,1,2,14
654,1996,29,75,1,2,14
655,1996,29,77,1,2,14
656,1996,29,79,1,2,14
657,1996,29,81,1,2,14
658,1996,29,83,1,2,14
659,1996,29,85,1,2,14
660,1996,29,87,1,2,14
661,1996,31,1,48,101,882
662,1996,31,3,2,4,36
663,1996,31,5,24,50,428
664,1996,31,7,2,4,36
665,1996,31,9,2,4,36
666,1996,31,11,2,4,36
667,1996,31,13,2,4,36
668,1996,31,15,2,4,36
669,1996,31,17,2,4,36
670,1996,31,19,2,4,36
671,1996,31,21,2,4,36
672,1996,31,23,2,4,36
673,1996,31,25,2,4,36
674,1996,31,27,14,30,324
675,1996,31,29,2,4,36
676,1996,31,31,6802,19847,208345
677,1996,31,33,2,4,36
678,1996,31,35,2,4,36
679,1996,31,37,2,4,36
680,1996,31,39,2,4,36
681,1996,31,41,2,4,36
682,1996,31,43,2,4,36
683,1996,31,45,2,4,36
684,1996,31,47,2,4,36
685,1996,31,49,2,4,36
686,1996,31,51,2,4,36
687,1996,31,53,13,33,227
688,1996,31,55,2,4,36
689,1996,31,57,2,4,36
690,1996,31,59,2,4,36
691,1996,31,61,2,4,36
692,1996,31,63,2,4,36
693,1996,31,65,2,4,36
694,1996,31,67,165,467,3119
695,1996,31,69,2,4,36
696,1996,31,71,2,4,36
697,1996,31,73,2,4,36
698,1996,31,75,2,4,36
699,1996,31,77,2,4,36
700,1996,31,79,2,4,36
701,1996,31,81,2,4,36
702,1996,31,83,63,165,1315
703,1996,31,85,2,4,36
704,1996,31,87,2,4,36
705,1996,33,1,1,2,10
706,1996,33,3,1,2,10
707,1996,33,5,1,2,10
708,1996,33,7,1,2,10
709,1996,33,9,1,2,10
710,1996,33,11,1,2,10
711,1996,33,13,1,2,10
712,1996,33,15,1,2,10
713,1996,33,17,1,2,10
714,1996,33,19,1,2,10
715,1996,33,21,1,2,10
716,1996,33,23,1,2,10
717,1996,33,25,1,2,10
718,1996,33,27,1,2,10
719,1996,33,29,1,2,10
720,1996,33,31,1,2,10
721,1996,33,33,247,665,6124
722,1996,33,35,1,2,10
723,1996,33,37,1,2,10
724,1996,33,39,1,2,10
725,1996,33,41,1,2,10
726,1996,33,43,1,2,10
727,1996,33,45,1,2,10
728,1996,33,47,1,2,10
729,1996,33,49,1,2,10
730,1996,33,51,1,2,10
731,1996,33,53,1,2,10
732,1996,33,55,1,2,10
733,1996,33,57,1,2,10
734,1996,33,59,1,2,10
735,1996,33,61,1,2,10
736,1996,33,63,1,2,10
737,1996,33,65,1,2,10
738,1996,33,67,1,2,10
739,1996,33,69,1,2,10
740,1996,33,71,1,2,10
741,1996,33,73,1,2,10
742,1996,33,75,1,2,10
743,1996,33,77,1,2,10
744,1996,33,79,1,2,10
745,1996,33,81,1,2,10
746,1996,33,83,1,2,10
747,1996,33,85,1,2,10
748,1996,33,87,1,2,10
749,1996,35,1,11,20,308
750,1996,35,3,1,3,31
