id,year,countyfips,type,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
271,1998,65,foreign,0,0,0,38,41,78
272,1998,67,same_state,337,851,7289,236,636,5180
273,1998,67,diff_state,175,427,3908,95,220,1966
274,1998,69,same_state,361,727,9340,420,804,9971
275,1998,69,diff_state,802,1546,23386,673,1308,20101
276,1998,69,foreign,0,0,0,16,26,150
277,1998,71,same_state,39,94,806,17,42,540
278,1998,71,diff_state,51,103,1277,77,178,2362
279,1998,73,same_state,235,608,4892,228,547,4826
280,1998,73,diff_state,125,297,2247,129,321,3312
281,1998,75,same_state,234,498,5439,217,497,5316
282,1998,75,diff_state,335,783,7716,391,908,9692
283,1998,77,same_state,133,287,3213,106,282,2171
284,1998,77,diff_state,59,156,1253,62,178,1314
285,1998,79,same_state,180,413,4905,134,292,3443
286,1998,79,diff_state,207,430,4786,240,512,5792
287,1998,81,same_state,59,119,1081,55,128,1560
288,1998,81,diff_state,139,260,3168,186,342,7060
289,1998,83,same_state,834,1803,19924,805,1740,18151
290,1998,83,diff_state,773,1711,21255,734,1694,21632
291,1998,83,foreign,14,28,200,10,19,195
292,1998,85,same_state,197,417,4562,165,347,5337
293,1998,85,diff_state,153,304,3903,146,287,4966
294,1998,87,same_state,149,299,3214,109,263,2930
295,1998,87,diff_state,131,271,2818,140,345,4400
296,1999,1,same_state,3164,6853,108888,3162,5837,85295
297,1999,1,diff_state,4150,7874,156211,5521,11315,243745
298,1999,1,foreign,69,141,"3,657",81,172,"2,195"
299,1999,3,same_state,76,131,1479,73,149,3140
300,1999,3,diff_state,54,112,1670,52,96,1447
301,1999,5,same_state,886,1913,23229,948,1985,19917
302,1999,5,diff_state,1160,2474,33038,1006,2059,28615
303,1999,5,foreign,11,14,158,30,50,528
304,1999,7,same_state,46,86,1050,32,90,864
305,1999,7,diff_state,89,215,2268,96,235,2636
306,1999,9,same_state,130,273,3525,86,176,2022
307,1999,9,diff_state,121,259,3013,144,310,4238
308,1999,11,same_state,669,1588,15939,531,1302,14465
309,1999,11,diff_state,427,964,10422,347,890,9474
310,1999,13,same_state,242,448,7508,208,393,5640
311,1999,13,diff_state,495,749,30849,487,724,39569
312,1999,13,foreign,0,0,0,10,11,210
313,1999,15,same_state,132,285,3242,491,1163,23998
314,1999,15,diff_state,45,79,986,98,201,3732
315,1999,17,same_state,296,614,6786,269,551,6862
316,1999,17,diff_state,659,1305,19360,903,1855,45913
