state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
16,23,Idaho,Butte County,2016,2572,1314,1258,136,72,64,2020,1028,992,1942,991,951,588,308,280,65,28,37,44.400002,44.099998,44.799999
16,23,Idaho,Butte County,2017,2585,1321,1264,127,65,62,2022,1033,989,1956,994,962,599,313,286,73,29,44,44.5,44,45.099998
16,23,Idaho,Butte County,2018,2587,1303,1284,140,67,73,2035,1037,998,1963,995,968,604,311,293,71,24,47,44.599998,45,44.200001
16,23,Idaho,Butte County,2019,2597,1324,1273,147,75,72,2052,1046,1006,1966,1005,961,614,312,302,69,22,47,44.200001,44.200001,44.200001
16,25,Idaho,Camas County,2010c,1117,582,535,63,36,27,896,469,427,877,457,420,178,93,85,23,12,11,44.299999,45.200001,43.5
16,25,Idaho,Camas County,2010b,1117,582,535,63,36,27,896,469,427,877,457,420,178,93,85,23,12,11,44.299999,45.200001,43.5
16,25,Idaho,Camas County,2010,1116,581,535,66,35,31,892,468,424,872,455,417,185,99,86,24,13,11,44.5,45.599998,43.400002
16,25,Idaho,Camas County,2011,1115,579,536,67,32,35,884,469,415,854,451,403,183,103,80,19,11,8,42.700001,45.099998,40.900002
16,25,Idaho,Camas County,2012,1085,559,526,64,32,32,852,449,403,821,432,389,187,103,84,16,9,7,43,45.799999,41
16,25,Idaho,Camas County,2013,1043,537,506,68,35,33,818,427,391,794,415,379,193,109,84,18,13,5,44.900002,48.200001,42.299999
16,25,Idaho,Camas County,2014,1054,542,512,61,31,30,825,434,391,798,417,381,211,122,89,20,13,7,44.099998,48,41.599998
16,25,Idaho,Camas County,2015,1070,548,522,57,28,29,853,446,407,822,430,392,229,129,100,21,13,8,44.799999,47.299999,42.799999
16,25,Idaho,Camas County,2016,1082,562,520,54,28,26,851,449,402,829,441,388,235,134,101,24,12,12,44.700001,46.200001,43
16,25,Idaho,Camas County,2017,1096,557,539,47,24,23,868,456,412,840,443,397,242,131,111,27,9,18,45.599998,46.799999,43.400002
16,25,Idaho,Camas County,2018,1121,571,550,53,30,23,888,466,422,859,452,407,252,135,117,26,7,19,45.400002,46.900002,43.299999
16,25,Idaho,Camas County,2019,1106,565,541,42,26,16,884,459,425,862,451,411,270,146,124,29,9,20,47.200001,47.400002,46.799999
16,27,Idaho,Canyon County,2010c,188923,93506,95417,17143,8768,8375,135485,66191,69294,129431,63111,66320,20396,9125,11271,2752,953,1799,31.6,30.9,32.299999
16,27,Idaho,Canyon County,2010b,188922,93507,95415,17147,8772,8375,135485,66191,69294,129432,63111,66321,20396,9125,11271,2752,953,1799,31.6,30.9,32.299999
16,27,Idaho,Canyon County,2010,189347,93695,95652,17037,8696,8341,135957,66435,69522,129883,63331,66552,20607,9230,11377,2782,968,1814,31.799999,31,32.400002
16,27,Idaho,Canyon County,2011,191354,94604,96750,16713,8482,8231,138096,67398,70698,131979,64287,67692,21471,9663,11808,2829,988,1841,32.099998,31.4,32.799999
16,27,Idaho,Canyon County,2012,193734,95691,98043,16290,8287,8003,140678,68660,72018,134394,65449,68945,22737,10332,12405,2821,990,1831,32.599998,31.9,33.299999
16,27,Idaho,Canyon County,2013,198590,98295,100295,16183,8283,7900,144730,70750,73980,138214,67385,70829,23873,10900,12973,2805,977,1828,32.700001,31.9,33.400002
16,27,Idaho,Canyon County,2014,202440,100095,102345,16101,8250,7851,148238,72427,75811,141724,69043,72681,25093,11518,13575,2823,985,1838,33,32.200001,33.700001
16,27,Idaho,Canyon County,2015,206842,102290,104552,16243,8188,8055,152003,74429,77574,145328,71000,74328,26364,12113,14251,2857,1003,1854,33.200001,32.400002,33.900002
16,27,Idaho,Canyon County,2016,211381,104666,106715,16286,8270,8016,156110,76528,79582,149213,73047,76166,27626,12684,14942,2871,1029,1842,33.400002,32.599998,34.200001
