state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,median_age_tot,median_age_male,median_age_fem
16,17,Idaho,Bonner County,2014,41289,20635,20654,2042,1018,1024,4324,2217,2107,2087,1059,1028,2668,1398,1270,8409,4153,4256,13036,6391,6645,8723,4399,4324,47.5,47.099998,47.799999
16,17,Idaho,Bonner County,2015,41600,20779,20821,2055,1013,1042,4207,2174,2033,2122,1036,1086,2632,1379,1253,8386,4169,4217,12988,6344,6644,9210,4664,4546,47.900002,47.700001,48.200001
16,17,Idaho,Bonner County,2016,42357,21098,21259,2114,1007,1107,4193,2173,2020,2136,1045,1091,2617,1361,1256,8565,4220,4345,12976,6355,6621,9756,4937,4819,48.099998,48,48.299999
16,17,Idaho,Bonner County,2017,43654,21756,21898,2234,1048,1186,4304,2250,2054,2200,1064,1136,2642,1383,1259,8880,4396,4484,13084,6386,6698,10310,5229,5081,48.099998,47.900002,48.299999
16,17,Idaho,Bonner County,2018,44705,22260,22445,2246,1071,1175,4402,2242,2160,2184,1079,1105,2682,1380,1302,9178,4592,4586,13055,6331,6724,10958,5565,5393,48.299999,48,48.5
16,17,Idaho,Bonner County,2019,45739,22846,22893,2287,1107,1180,4510,2287,2223,2216,1147,1069,2680,1349,1331,9405,4740,4665,13027,6341,6686,11614,5875,5739,48.5,48.299999,48.799999
16,19,Idaho,Bonneville County,2010c,104234,51996,52238,9975,5169,4806,16309,8373,7936,6510,3347,3163,8836,4366,4470,27271,13724,13547,23990,11995,11995,11343,5022,6321,31.700001,31,32.400002
16,19,Idaho,Bonneville County,2010b,104294,52015,52279,9975,5169,4806,16306,8370,7936,6509,3347,3162,8836,4366,4470,27269,13723,13546,23995,11999,11996,11404,5041,6363,31.700001,31,32.5
16,19,Idaho,Bonneville County,2010,104675,52230,52445,10011,5179,4832,16390,8429,7961,6525,3343,3182,8862,4394,4468,27339,13773,13566,24054,12026,12028,11494,5086,6408,31.700001,31,32.5
16,19,Idaho,Bonneville County,2011,105813,52703,53110,10016,5078,4938,16649,8558,8091,6546,3318,3228,8954,4444,4510,27570,13931,13639,24299,12132,12167,11779,5242,6537,31.9,31.299999,32.5
16,19,Idaho,Bonneville County,2012,106764,53107,53657,9813,4998,4815,17103,8709,8394,6567,3383,3184,9083,4480,4603,27849,14006,13843,24188,12039,12149,12161,5492,6669,32,31.5,32.599998
16,19,Idaho,Bonneville County,2013,107369,53324,54045,9663,4826,4837,17403,8878,8525,6670,3466,3204,9162,4522,4640,27994,14005,13989,23868,11918,11950,12609,5709,6900,32.099998,31.700001,32.599998
16,19,Idaho,Bonneville County,2014,108236,53745,54491,9422,4693,4729,17583,8961,8622,6947,3582,3365,9110,4570,4540,28316,14116,14200,23775,11856,11919,13083,5967,7116,32.400002,31.9,32.900002
16,19,Idaho,Bonneville County,2015,109849,54620,55229,9471,4709,4762,17760,9112,8648,7153,3716,3437,9214,4640,4574,28788,14336,14452,23857,11888,11969,13606,6219,7387,32.599998,32.099998,33.200001
16,19,Idaho,Bonneville County,2016,112118,55827,56291,9636,4879,4757,17958,9151,8807,7337,3725,3612,9451,4810,4641,29455,14690,14765,24046,12018,12028,14235,6554,7681,32.700001,32.200001,33.200001
16,19,Idaho,Bonneville County,2017,114488,57061,57427,9682,4942,4740,18241,9320,8921,7533,3777,3756,9597,4908,4689,30347,15159,15188,24247,12098,12149,14841,6857,7984,32.799999,32.400002,33.299999
16,19,Idaho,Bonneville County,2018,116444,58165,58279,9731,5065,4666,18302,9322,8980,7664,3859,3805,9798,5029,4769,31101,15567,15534,24383,12176,12207,15465,7147,8318,33,32.400002,33.599998
16,19,Idaho,Bonneville County,2019,119062,59452,59610,9937,5123,4814,18413,9358,9055,7767,3941,3826,10060,5125,4935,32156,16173,15983,24617,12305,12312,16112,7427,8685,33,32.400002,33.599998
16,21,Idaho,Boundary County,2010c,10972,5549,5423,687,352,335,1419,730,689,706,366,340,631,337,294,2325,1158,1167,3372,1670,1702,1832,936,896,42.799999,42.400002,43.200001
16,21,Idaho,Boundary County,2010b,10972,5549,5423,687,352,335,1419,730,689,706,366,340,631,337,294,2325,1158,1167,3372,1670,1702,1832,936,896,42.799999,42.400002,43.200001
16,21,Idaho,Boundary County,2010,10999,5563,5436,682,348,334,1430,737,693,698,361,337,653,345,308,2325,1160,1165,3373,1668,1705,1838,944,894,42.700001,42.299999,43
16,21,Idaho,Boundary County,2011,10823,5476,5347,619,328,291,1375,701,674,669,345,324,677,367,310,2264,1124,1140,3299,1637,1662,1920,974,946,43.400002,43,43.799999
16,21,Idaho,Boundary County,2012,10817,5470,5347,599,323,276,1349,687,662,659,349,310,689,374,315,2257,1113,1144,3238,1602,1636,2026,1022,1004,43.900002,43.099998,44.5
16,21,Idaho,Boundary County,2013,10853,5502,5351,595,319,276,1309,655,654,672,360,312,706,404,302,2224,1100,1124,3212,1581,1631,2135,1083,1052,44.400002,43.5,45.099998
16,21,Idaho,Boundary County,2014,10956,5529,5427,603,317,286,1245,629,616,683,357,326,776,428,348,2204,1103,1101,3233,1572,1661,2212,1123,1089,44.700001,43.900002,45.5
16,21,Idaho,Boundary County,2015,11299,5700,5599,687,356,331,1260,646,614,720,366,354,798,438,360,2276,1143,1133,3264,1587,1677,2294,1164,1130,44.299999,43.200001,45.099998
16,21,Idaho,Boundary County,2016,11701,5874,5827,777,407,370,1310,668,642,685,340,345,866,464,402,2379,1186,1193,3292,1595,1697,2392,1214,1178,43.700001,43,44.5
16,21,Idaho,Boundary County,2017,11965,5997,5968,799,431,368,1349,680,669,681,335,346,893,468,425,2428,1218,1210,3301,1584,1717,2514,1281,1233,43.900002,43.099998,44.599998
16,21,Idaho,Boundary County,2018,12016,6040,5976,745,393,352,1389,713,676,657,320,337,864,451,413,2385,1211,1174,3284,1590,1694,2692,1362,1330,44.700001,43.900002,45.5
16,21,Idaho,Boundary County,2019,12245,6146,6099,789,396,393,1371,719,652,656,324,332,897,464,433,2460,1247,1213,3247,1572,1675,2825,1424,1401,44.599998,44,45.400002
16,23,Idaho,Butte County,2010c,2891,1485,1406,214,109,105,393,207,186,208,114,94,164,85,79,557,279,278,849,440,409,506,251,255,41.700001,41.200001,42.400002
16,23,Idaho,Butte County,2010b,2893,1486,1407,214,109,105,393,207,186,208,114,94,164,85,79,557,279,278,850,440,410,507,252,255,41.799999,41.299999,42.5
16,23,Idaho,Butte County,2010,2915,1496,1419,225,114,111,397,206,191,205,113,92,172,89,83,558,281,277,845,438,407,513,255,258,41.400002,40.900002,41.799999
16,23,Idaho,Butte County,2011,2833,1448,1385,184,88,96,387,197,190,206,117,89,188,101,87,513,259,254,830,426,404,525,260,265,42.700001,42.400002,42.900002
16,23,Idaho,Butte County,2012,2760,1406,1354,178,88,90,364,184,180,178,104,74,192,95,97,510,258,252,789,393,396,549,284,265,43.200001,42.700001,43.599998
16,23,Idaho,Butte County,2013,2667,1372,1295,165,84,81,340,167,173,170,99,71,181,99,82,507,255,252,747,374,373,557,294,263,43.900002,43.5,44.299999
16,23,Idaho,Butte County,2014,2658,1351,1307,160,79,81,351,171,180,163,84,79,189,107,82,503,253,250,734,363,371,558,294,264,43.700001,43.799999,43.700001
