county,year,female_1544,popestimate,total_births,br_crude,br
Franklin County,2021,2726,14670,208,14.178596,76.302277
Fremont County,2021,2428,13591,171,12.581856,70.428337
Gem County,2021,3185,19802,195,9.8474903,61.224491
Gooding County,2021,2787,15793,225,14.246819,80.731972
Idaho County,2021,2214,17059,167,9.7895536,75.429085
Jefferson County,2021,6282,32201,428,13.291512,68.131172
Jerome County,2021,4694,24738,356,14.390816,75.841499
Kootenai County,2021,32628,180058,1884,10.463295,57.741817
Latah County,2021,9761,40400,433,10.717822,44.36021
Lemhi County,2021,1137,8160,70,8.5784311,61.565525
Lewis County,2021,565,3690,33,8.9430895,58.407078
Lincoln County,2021,1019,5285,60,11.352885,58.881256
Madison County,2021,21501,54092,1119,20.686977,52.04409
Minidoka County,2021,4058,21944,307,13.990157,75.65303
Nez Perce County,2021,7739,42500,430,10.117647,55.562733
Oneida County,2021,769,4605,69,14.983713,89.726921
Owyhee County,2021,2205,12356,162,13.111039,73.469391
Payette County,2021,4528,26386,334,12.658228,73.763252
Power County,2021,1400,7975,120,15.047022,85.714287
Shoshone County,2021,2104,13615,141,10.356225,67.015205
Teton County,2021,2338,12273,128,10.429398,54.747646
Twin Falls County,2021,18510,92394,1129,12.219408,60.994057
Valley County,2021,1829,12256,83,6.7721934,45.37999
Washington County,2021,1702,10900,94,8.6238537,55.229141
Ada County,2022,104122,519004,4950,9.5374985,47.540386
Adams County,2022,608,4791,33,6.8879147,54.276318
Bannock County,2022,18870,89625,1017,11.347281,53.895073
Bear Lake County,2022,1130,6730,77,11.441308,68.141594
Benewah County,2022,1552,10291,120,11.660674,77.319588
Bingham County,2022,9778,49973,638,12.766894,65.24852
Blaine County,2022,4007,24901,190,7.6302156,47.417019
Boise County,2022,1178,8360,69,8.2535887,58.573853
Bonner County,2022,7656,51407,468,9.1038189,61.128525
Bonneville County,2022,26287,129543,1776,13.709733,67.561913
Boundary County,2022,2086,13272,158,11.904762,75.74305
Butte County,2022,434,2698,28,10.378057,64.516129
Camas County,2022,176,1169,10,8.5543203,56.81818
Canyon County,2022,51422,250892,3376,13.455989,65.652832
Caribou County,2022,1293,7200,89,12.361111,68.832176
Cassia County,2022,4867,25644,352,13.726408,72.323814
Clark County,2022,149,810,17,20.987654,114.09396
Clearwater County,2022,1045,9035,63,6.9728832,60.287083
Custer County,2022,606,4518,38,8.4108009,62.706272
Elmore County,2022,5731,29391,459,15.617025,80.090736
Franklin County,2022,2816,15170,246,16.216217,87.357956
Fremont County,2022,2482,14017,198,14.125705,79.774376
Gem County,2022,3309,20454,217,10.609172,65.578728
Gooding County,2022,2831,15879,215,13.539895,75.944893
Idaho County,2022,2333,17637,172,9.7522259,73.724815
Jefferson County,2022,6541,33336,463,13.888889,70.784286
Jerome County,2022,4876,25244,371,14.696562,76.08696
Kootenai County,2022,33088,183290,1907,10.404278,57.634186
Latah County,2022,9832,40924,446,10.898251,45.362083
Lemhi County,2022,1166,8284,52,6.2771606,44.596912
Lewis County,2022,553,3725,35,9.3959732,63.291138
Lincoln County,2022,1044,5385,75,13.927577,71.839081
Madison County,2022,21704,54958,1107,20.142654,51.004425
Minidoka County,2022,4168,22208,302,13.598703,72.456818
Nez Perce County,2022,7764,42909,366,8.5296793,47.140648
Oneida County,2022,799,4740,54,11.392406,67.58448
Owyhee County,2022,2254,12645,137,10.834322,60.780834
Payette County,2022,4672,26929,312,11.586022,66.780823
Power County,2022,1429,8136,95,11.676499,66.480057
Shoshone County,2022,2210,13935,163,11.697165,73.755653
Teton County,2022,2349,12519,154,12.301302,65.559814
Twin Falls County,2022,18932,93821,1146,12.214749,60.532433
Valley County,2022,1827,12450,85,6.8273091,46.524357
Washington County,2022,1796,11147,134,12.021172,74.610245
Ada County,2023,105057,524673,5084,9.6898451,48.392776
Adams County,2023,639,4903,46,9.3820114,71.98748
Bannock County,2023,19162,90400,1058,11.70354,55.213444
Bear Lake County,2023,1157,6766,56,8.2766771,48.401035
Benewah County,2023,1588,10369,98,9.4512491,61.712845
Bingham County,2023,9948,50395,657,13.037007,66.043427
Blaine County,2023,4059,25041,191,7.627491,47.055923
Boise County,2023,1179,8517,47,5.5183749,39.864292
Bonner County,2023,7811,52547,467,8.8872814,59.787479
Bonneville County,2023,26886,131366,1725,13.131251,64.159782
Boundary County,2023,2104,13557,155,11.433208,73.669205
Butte County,2023,441,2758,21,7.614213,47.619049
Camas County,2023,176,1232,17,13.798701,96.590912
Canyon County,2023,52904,257674,3433,13.323036,64.891121
Caribou County,2023,1288,7219,90,12.467101,69.875778
Cassia County,2023,4939,25696,400,15.566626,80.988052
