"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2011"	"2011"	"45-54 years"	"45-54"	Suppressed	720	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2011"	"2011"	"55-64 years"	"55-64"	10	816	Unreliable	587.7	2253.7	387.5	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	532	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	240	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2011"	"2011"	"85+ years"	"85+"	14	88	Unreliable	8697.7	26692.8	4251.9	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2011"	"2011"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"< 1 year"	"1"	0	33	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"1-4 years"	"1-4"	0	171	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"5-14 years"	"5-14"	0	458	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"15-24 years"	"15-24"	Suppressed	390	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"25-34 years"	"25-34"	Suppressed	420	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"35-44 years"	"35-44"	Suppressed	487	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"45-54 years"	"45-54"	Suppressed	656	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"55-64 years"	"55-64"	Suppressed	821	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	568	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	236	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	91	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2012"	"2012"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"< 1 year"	"1"	0	37	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"1-4 years"	"1-4"	0	150	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"5-14 years"	"5-14"	0	444	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"15-24 years"	"15-24"	0	400	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"25-34 years"	"25-34"	Suppressed	400	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"35-44 years"	"35-44"	Suppressed	455	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"45-54 years"	"45-54"	Suppressed	615	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"55-64 years"	"55-64"	Suppressed	811	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	594	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	252	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	91	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2013"	"2013"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"< 1 year"	"1"	0	32	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"1-4 years"	"1-4"	0	148	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"5-14 years"	"5-14"	0	401	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"15-24 years"	"15-24"	0	385	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"25-34 years"	"25-34"	Suppressed	379	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"35-44 years"	"35-44"	Suppressed	419	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"45-54 years"	"45-54"	Suppressed	570	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"55-64 years"	"55-64"	Suppressed	819	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"65-74 years"	"65-74"	Suppressed	617	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"75-84 years"	"75-84"	11	266	Unreliable	2064.4	7399.3	1246.9	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"85+ years"	"85+"	15	104	Unreliable	8072.5	23788.7	3724.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2014"	"2014"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"< 1 year"	"1"	0	40	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"1-4 years"	"1-4"	0	153	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"5-14 years"	"5-14"	0	377	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"15-24 years"	"15-24"	Suppressed	360	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"25-34 years"	"25-34"	Suppressed	366	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"35-44 years"	"35-44"	Suppressed	421	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"45-54 years"	"45-54"	Suppressed	522	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"55-64 years"	"55-64"	Suppressed	796	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"65-74 years"	"65-74"	11	646	Unreliable	850.0	3046.8	513.4	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	296	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"85+ years"	"85+"	20	110	18181.8	11106.0	28080.4	4065.6	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2015"	"2015"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"< 1 year"	"1"	0	35	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"1-4 years"	"1-4"	0	145	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"5-14 years"	"5-14"	0	382	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"15-24 years"	"15-24"	0	351	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"25-34 years"	"25-34"	0	378	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"35-44 years"	"35-44"	0	415	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"45-54 years"	"45-54"	Suppressed	493	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"55-64 years"	"55-64"	Suppressed	801	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"65-74 years"	"65-74"	11	703	Unreliable	781.1	2799.7	471.8	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"75-84 years"	"75-84"	15	296	Unreliable	2836.3	8358.2	1308.4	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	97	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2016"	"2016"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"< 1 year"	"1"	0	39	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"1-4 years"	"1-4"	0	155	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"5-14 years"	"5-14"	0	370	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"15-24 years"	"15-24"	0	370	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"25-34 years"	"25-34"	Suppressed	370	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"35-44 years"	"35-44"	Suppressed	425	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"45-54 years"	"45-54"	Suppressed	469	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"55-64 years"	"55-64"	10	779	Unreliable	615.6	2360.8	405.9	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"65-74 years"	"65-74"	15	755	Unreliable	1112.0	3276.9	513.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"75-84 years"	"75-84"	12	332	Unreliable	1867.6	6313.7	1043.4	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	108	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2017"	"2017"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"< 1 year"	"1"	0	43	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"1-4 years"	"1-4"	0	162	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"5-14 years"	"5-14"	0	397	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	358	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"25-34 years"	"25-34"	0	383	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"35-44 years"	"35-44"	0	431	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	463	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"55-64 years"	"55-64"	Suppressed	800	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"65-74 years"	"65-74"	14	785	Unreliable	975.0	2992.3	476.6	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"75-84 years"	"75-84"	19	346	Unreliable	3306.2	8575.4	1259.8	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"85+ years"	"85+"	12	112	Unreliable	5536.2	18715.7	3092.9	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"< 1 year"	"1"	0	33	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"1-4 years"	"1-4"	0	168	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"5-14 years"	"5-14"	0	404	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	346	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"25-34 years"	"25-34"	0	389	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	427	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	481	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"55-64 years"	"55-64"	Suppressed	769	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"65-74 years"	"65-74"	13	824	Unreliable	840.0	2697.9	437.6	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"75-84 years"	"75-84"	10	351	Unreliable	1366.2	5239.4	900.9	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"85+ years"	"85+"	Suppressed	123	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2019"	"2019"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"< 1 year"	"1"	0	27	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"1-4 years"	"1-4"	0	155	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"5-14 years"	"5-14"	0	403	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"15-24 years"	"15-24"	0	334	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"25-34 years"	"25-34"	Suppressed	355	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"35-44 years"	"35-44"	0	426	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"45-54 years"	"45-54"	Suppressed	462	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"55-64 years"	"55-64"	Suppressed	741	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"65-74 years"	"65-74"	10	858	Unreliable	558.9	2143.4	368.6	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"75-84 years"	"75-84"	17	356	Unreliable	2781.8	7645.7	1158.2	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"85+ years"	"85+"	16	132	Unreliable	6928.4	19684.1	3030.3	0.0%
	"Idaho"	"16"	"Custer County, ID"	"16037"	"2020 "	"2020"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"< 1 year"	"1"	Suppressed	508	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"1-4 years"	"1-4"	0	1936	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"5-14 years"	"5-14"	Suppressed	4430	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"15-24 years"	"15-24"	Suppressed	5312	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"25-34 years"	"25-34"	Suppressed	5370	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"35-44 years"	"35-44"	Suppressed	4993	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"45-54 years"	"45-54"	Suppressed	2607	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"55-64 years"	"55-64"	16	1687	Unreliable	542.1	1540.2	237.1	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"65-74 years"	"65-74"	35	1192	2936.2	2045.2	4083.6	496.3	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"75-84 years"	"75-84"	39	660	5909.1	4202.0	8077.9	946.2	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"85+ years"	"85+"	41	194	21134.0	15166.2	28670.6	3300.6	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"< 1 year"	"1"	Suppressed	504	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"1-4 years"	"1-4"	0	1940	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"5-14 years"	"5-14"	Suppressed	4435	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"15-24 years"	"15-24"	Suppressed	5326	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"25-34 years"	"25-34"	Suppressed	5445	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"35-44 years"	"35-44"	Suppressed	5035	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"45-54 years"	"45-54"	Suppressed	2643	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"55-64 years"	"55-64"	Suppressed	1723	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"65-74 years"	"65-74"	31	1203	2576.9	1750.9	3657.7	462.8	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"75-84 years"	"75-84"	43	672	6398.8	4630.8	8619.1	975.8	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"85+ years"	"85+"	24	204	11764.7	7537.9	17504.9	2401.5	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"< 1 year"	"1"	Suppressed	520	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"1-4 years"	"1-4"	0	1868	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"5-14 years"	"5-14"	0	4452	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"15-24 years"	"15-24"	Suppressed	4914	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"25-34 years"	"25-34"	Suppressed	4719	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"35-44 years"	"35-44"	Suppressed	4544	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"45-54 years"	"45-54"	Suppressed	2700	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"55-64 years"	"55-64"	20	1794	1114.8	681.0	1721.8	249.3	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"65-74 years"	"65-74"	30	1245	2409.6	1625.8	3439.9	439.9	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"75-84 years"	"75-84"	53	661	8018.2	6006.2	10487.9	1101.4	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"85+ years"	"85+"	38	196	19387.8	13719.9	26611.2	3145.1	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2001"	"2001"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	522	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"1-4 years"	"1-4"	0	1850	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"5-14 years"	"5-14"	Suppressed	4382	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"15-24 years"	"15-24"	Suppressed	4860	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"25-34 years"	"25-34"	Suppressed	4324	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"35-44 years"	"35-44"	Suppressed	4316	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"45-54 years"	"45-54"	10	2781	Unreliable	172.4	661.3	113.7	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"55-64 years"	"55-64"	14	1866	Unreliable	410.2	1258.8	200.5	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"65-74 years"	"65-74"	38	1305	2911.9	2060.6	3996.8	472.4	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"75-84 years"	"75-84"	35	659	5311.1	3699.4	7386.4	897.7	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"85+ years"	"85+"	47	182	25824.2	18974.6	34340.7	3766.8	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2002"	"2002"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Elmore County, ID"	"16039"	"2003"	"2003"	"< 1 year"	"1"	Suppressed	505	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
